"URI","country","elev","latitude","longitude","name","region","type"
"http://localhost:9091/project/volcanos/source/314","Philippines","1332","9.203E0","1.24673E2","Hibok-Hibok","Mindanao-Philippines","Stratovolcano"
"http://localhost:9091/project/volcanos/source/313","Chile","6071","-1.842E1","-6.917E1","Guallatiri","Chile-N","Stratovolcano"
"http://localhost:9091/project/volcanos/source/312","Russia","891","4.683E1","1.5175E2","Goriaschaia Sopka","Kuril Is","Stratovolcano"
"http://localhost:9091/project/volcanos/source/311","Indonesia","2885","4.813E0","9.682E1","Geureudong","Sumatra","Stratovolcano"
"http://localhost:9091/project/volcanos/source/310","Indonesia","2958","-6.78E0","1.0698E2","Gede","Java","Stratovolcano"
"http://localhost:9091/project/volcanos/source/31","Japan","10","3.192E1","1.3992E2","Bayonnaise Rocks","Izu Is-Japan","Submarine volcano"
"http://localhost:9091/project/volcanos/source/309","Tonga","200","-1.802E1","-1.74325E2","Fonualei","Tonga-SW Pacific","Stratovolcano"
"http://localhost:9091/project/volcanos/source/308","Portugal","1043","3.86E1","-2.873E1","Fayal","Azores","Stratovolcano"
"http://localhost:9091/project/volcanos/source/307","Tonga","-17","-2.032E1","-1.7542E2","Falcon Island","Tonga-SW Pacific","Submarine volcano"
"http://localhost:9091/project/volcanos/source/306","Iceland","1760","6.427E1","-1.665E1","Esjufjoll","Iceland-SE","Stratovolcano"
"http://localhost:9091/project/volcanos/source/305","Kenya","1328","1.5E0","3.633E1","Emuruangogolak","Africa-E","Shield volcano"
"http://localhost:9091/project/volcanos/source/304","Indonesia","1703","-8.67E0","1.2245E2","Egon","Lesser Sunda Is","Stratovolcano"
"http://localhost:9091/project/volcanos/source/303","Colombia","4150","1.47E0","-7.692E1","Dona Juana","Colombia","Stratovolcano"
"http://localhost:9091/project/volcanos/source/302","Yemen","3500","1.457E1","4.467E1","Dhamar, Harras of","Arabia-S","Volcanic field"
"http://localhost:9091/project/volcanos/source/301","Chile","3953","-3.558E1","-7.075E1","Descabezado Grande","Chile-C","Stratovolcano"
"http://localhost:9091/project/volcanos/source/300","Ethiopia","-48","1.4242E1","4.03E1","Dallol","Africa-NE","Explosion crater"
